Author,Year,Title,Journal,Keywords,JEL.Codes,Date.Created,Article.Link
Raquel Fernández,2013,Cultural Change as Learning: The Evolution of Female Labor Force Participation over a Century,American Economic Review ,,D83; J16; J22; J31; N31; N32; Z13,2013-03-21,https://econpapers.repec.org/article/aeaaecrev/v_3a103_3ay_3a2013_3ai_3a1_3ap_3a472-500.htm
Ellora Derenoncourt,2022,Can You Move to Opportunity? Evidence from the Great Migration,American Economic Review ,,H75; H76; J15; J62; K42; N32; R23,2022-01-29,https://econpapers.repec.org/article/aeaaecrev/v_3a112_3ay_3a2022_3ai_3a2_3ap_3a369-408.htm
Finis Welch,1999,In Defense of Inequality,American Economic Review ,,D31; E25; E62; G10; H60; J11; J13; J16; J24; J31; J51; J61; J68; L11; N11; N12; N22; O33; O41; O47; R11,2013-01-11,https://econpapers.repec.org/article/aeaaecrev/v_3a89_3ay_3a1999_3ai_3a2_3ap_3a1-17.htm
Anne Case and Christina Paxson,2009,Early Life Health and Cognitive Function in Old Age,American Economic Review ,,I12; J13; N31; N32,2013-01-08,https://econpapers.repec.org/article/aeaaecrev/v_3a99_3ay_3a2009_3ai_3a2_3ap_3a104-09.htm
Charles W. Calomiris,1993,Financial Factors in the Great Depression,Journal of Economic Perspectives ,,E32; E44; N12,2012-12-18,https://econpapers.repec.org/article/aeajecper/v_3a7_3ay_3a1993_3ai_3a2_3ap_3a61-85.htm
Dora Costa,2000,From Mill Town to Board Room: The Rise of Women's Paid Labor,Journal of Economic Perspectives ,,J16; J31; N30,2012-12-07,https://econpapers.repec.org/article/aeajecper/v_3a14_3ay_3a2000_3ai_3a4_3ap_3a101-122.htm
Trevon D. Logan,2022,American Enslavement and the Recovery of Black Economic History,Journal of Economic Perspectives ,,A11; J15; N31; N51; N91,2022-05-11,https://econpapers.repec.org/article/aeajecper/v_3a36_3ay_3a2022_3ai_3a2_3ap_3a81-98.htm
Franco Peracchi,2008,"Height and Economic Development in Italy, 1730-1980",American Economic Review ,,I12; J11; N33; N34,2013-01-08,https://econpapers.repec.org/article/aeaaecrev/v_3a98_3ay_3a2008_3ai_3a2_3ap_3a475-81.htm
D. Johnson,2000,"Population, Food, and Knowledge",American Economic Review ,,C78; D24; D63; D73; E22; G21; G28; G31; H73; I22; I28; J11; N30; N50; O17; O33,2013-01-11,https://econpapers.repec.org/article/aeaaecrev/v_3a90_3ay_3a2000_3ai_3a1_3ap_3a1-14.htm
B. Zorina Khan and Kenneth Sokoloff,2001,The Early Development of Intellectual Property Institutions in the United States,Journal of Economic Perspectives ,,N41; N42; O34,2012-12-07,https://econpapers.repec.org/article/aeajecper/v_3a15_3ay_3a2001_3ai_3a3_3ap_3a233-246.htm
"Marco Cipriani, Linda S. Goldberg and Gabriele La Spada",2023,"Financial Sanctions, SWIFT, and the Architecture of the International Payment System",Journal of Economic Perspectives ,,E42; F51; G21; G28; N20; N40,2023-02-07,https://econpapers.repec.org/article/aeajecper/v_3a37_3ay_3a2023_3ai_3a1_3ap_3a31-52.htm
Jeffrey Williamson,1998,"Globalization, Labor Markets and Policy Backlash in the Past",Journal of Economic Perspectives ,,F02; F16; F22; N30; N70,2012-12-15,https://econpapers.repec.org/article/aeajecper/v_3a12_3ay_3a1998_3ai_3a4_3ap_3a51-72.htm
John Taylor,2000,Reassessing Discretionary Fiscal Policy,Journal of Economic Perspectives ,,E62; N16,2012-12-07,https://econpapers.repec.org/article/aeajecper/v_3a14_3ay_3a2000_3ai_3a3_3ap_3a21-36.htm
Réka Juhász,2018,Temporary Protection and Technology Adoption: Evidence from the Napoleonic Blockade,American Economic Review ,,F13; L67; N43; N63; N73,2018-10-30,https://econpapers.repec.org/article/aeaaecrev/v_3a108_3ay_3a2018_3ai_3a11_3ap_3a3339-76.htm
Peter Temin,2015,"The Cambridge History of ""Capitalism""",Journal of Economic Literature ,,N00; P10,2018-06-15,https://econpapers.repec.org/article/aeajeclit/v_3a53_3ay_3a2015_3ai_3a4_3ap_3a996-1016.htm
Stefan Houpt and Juan Carlos Rojo Cagigal,2014,"Relative deprivation and labour conflict during Spain’s industrialization: the Bilbao estuary, 1914–1936",Cliometrica,"Strikes, Relative deprivation, Industrialization, Labour relations, Interwar period, Spain",D19; E31; J52; J53; N34,2014-09-08,https://econpapers.repec.org/article/afccliome/v_3a8_3ay_3a2014_3ai_3a3_3ap_3a335-369.htm
Samuel Garrido,2021,Inequality and conflict as drivers of cooperation: the location of wine cooperatives in pre-1936 Spain,Cliometrica,"Wine, Cooperation, Inequality, Social conflict, Spain, Catalonia",D74; L66; N54; P13; Q13,2021-09-07,https://econpapers.repec.org/article/afccliome/v_3a15_3ay_3a2021_3ai_3a2_3ap_3a443-476.htm
Alex Armstrong and Frank Lewis,2017,Transatlantic wage gaps and the migration decision: Europe–Canada in the 1920s,Cliometrica,"Immigration, Wage differentials, Borrowing constraints, Status",J61; N32; N34,2017-04-26,https://econpapers.repec.org/article/sprcliomt/v_3a11_3ay_3a2017_3ai_3a2_3ad_3a10.1007_5fs11698-016-0141-x.htm
Rodney Edvinsson,2017,The response of vital rates to harvest fluctuations in pre-industrial Sweden,Cliometrica,"Sweden, Economic history, Demography, Agriculture, Malthus, Mortality, Fertility",N13; N34; N43; N53,2017-04-26,https://econpapers.repec.org/article/sprcliomt/v_3a11_3ay_3a2017_3ai_3a2_3ad_3a10.1007_5fs11698-016-0144-7.htm
Jaime Reis,2017,Deviant behaviour? Inequality in Portugal 1565–1770,Cliometrica,"Inequality, Early modern, Portugal, Kuznets curve, Factor-price ratios",N13; N33,2017-09-01,https://econpapers.repec.org/article/sprcliomt/v_3a11_3ay_3a2017_3ai_3a3_3ad_3a10.1007_5fs11698-016-0152-7.htm
Peter Lindert and Jeffrey G. Williamson,2017,"Inequality in the very long run: Malthus, Kuznets, and Ohlin",Cliometrica,"Inequality, Income inequality, Wealth inequality",N10; N23,2017-09-01,https://econpapers.repec.org/article/sprcliomt/v_3a11_3ay_3a2017_3ai_3a3_3ad_3a10.1007_5fs11698-016-0153-6.htm
Mikołaj Malinowski and Jan Luiten Zanden,2017,Income and its distribution in preindustrial Poland,Cliometrica,"Income inequality, Long-term economic growth, GDP, Poland, Serfdom",N13; N33,2017-09-01,https://econpapers.repec.org/article/sprcliomt/v_3a11_3ay_3a2017_3ai_3a3_3ad_3a10.1007_5fs11698-016-0154-5.htm
"Kota Ogasawara, Shinichiro Shirota and Genya Kobayashi",2018,Public health improvements and mortality in interwar Tokyo: a Bayesian disease mapping approach,Cliometrica,"Bayesian disease mapping, Public health, Modern water supply system, Mortality rates",C11; C21; I18; N35,2018-01-18,https://econpapers.repec.org/article/sprcliomt/v_3a12_3ay_3a2018_3ai_3a1_3ad_3a10.1007_5fs11698-016-0148-3.htm
"Christopher Bailey, Tarique Hossain and Gary Pecquet",2018,"Private banks in early Michigan, 1837–1884",Cliometrica,"Private bank, Exchange broker, Michigan banking, Antebellum banking",G21; N11; N21,2018-01-18,https://econpapers.repec.org/article/sprcliomt/v_3a12_3ay_3a2018_3ai_3a1_3ad_3a10.1007_5fs11698-016-0155-4.htm
Alexandra de Pleijt,2018,"Human capital formation in the long run: evidence from average years of schooling in England, 1300–1900",Cliometrica,"Human capital, Industrial revolution, Economic growth, England",J24; N13; N34; O10,2018-01-18,https://econpapers.repec.org/article/sprcliomt/v_3a12_3ay_3a2018_3ai_3a1_3ad_3a10.1007_5fs11698-016-0156-3.htm
Gabriel P. Mathy,2018,Hysteresis and persistent long-term unemployment: the American Beveridge Curve of the Great Depression and World War II,Cliometrica,"Unemployment, Great Depression, Beveridge Curve, Hysteresis",E32; J60; N12,2018-01-18,https://econpapers.repec.org/article/sprcliomt/v_3a12_3ay_3a2018_3ai_3a1_3ad_3a10.1007_5fs11698-016-0158-1.htm
Byron Lew and Bruce Cater,2018,Farm mechanization on an otherwise ‘featureless’ plain: tractors on the Northern Great Plains and immigration policy of the 1920s,Cliometrica,"Immigration, Technological diffusion, Agriculture, North America",J61; N52; O33,2018-04-25,https://econpapers.repec.org/article/sprcliomt/v_3a12_3ay_3a2018_3ai_3a2_3ad_3a10.1007_5fs11698-016-0157-2.htm
Ellis Tallman and Jon Moen,2018,The transmission of the financial crisis in 1907: an empirical investigation,Cliometrica,"Panic, Liquidity, Clearing house, Gold standard, Currency premium, Bank runs",E44; N11; N21,2018-04-25,https://econpapers.repec.org/article/sprcliomt/v_3a12_3ay_3a2018_3ai_3a2_3ad_3a10.1007_5fs11698-017-0161-1.htm
B. Zorina Khan,2018,"Human capital, knowledge and economic development: evidence from the British Industrial Revolution, 1750–1930",Cliometrica,"Technological change, Inventors, Human capital, Industrialization, Patents, Inventions",J24; L26; N13; N73; O31; O33,2018-04-25,https://econpapers.repec.org/article/sprcliomt/v_3a12_3ay_3a2018_3ai_3a2_3ad_3a10.1007_5fs11698-017-0163-z.htm
Leticia Arroyo Abad and Blanca Sanchez-Alonso,2018,"A city of trades: Spanish and Italian immigrants in late-nineteenth-century Buenos Aires, Argentina",Cliometrica,"Migration, Wages, Networks, Labour force, Buenos Aires",F22; N36,2018-04-25,https://econpapers.repec.org/article/sprcliomt/v_3a12_3ay_3a2018_3ai_3a2_3ad_3a10.1007_5fs11698-017-0164-y.htm
Deirdre Nansen McCloskey,2018,Getting over naïve scientism c. 1950: what Fogel and North got wrong,Cliometrica,"Robert Fogel, Douglass North, Cliometrics, Science, Humanities",B2; B3; N0,2018-08-26,https://econpapers.repec.org/article/sprcliomt/v_3a12_3ay_3a2018_3ai_3a3_3ad_3a10.1007_5fs11698-017-0168-7.htm
Kota Ogasawara and Yukitoshi Matsushita,2019,Heterogeneous treatment effects of safe water on infectious disease: Do meteorological factors matter?,Cliometrica,"Climate, Heterogeneous treatment effects, Panel-data analysis, Public health, Semi/nonparametric estimation",C14; I18; N55; Q54,2019-01-22,https://econpapers.repec.org/article/sprcliomt/v_3a13_3ay_3a2019_3ai_3a1_3ad_3a10.1007_5fs11698-017-0169-6.htm
Lino Wehrheim,2019,Economic history goes digital: topic modeling the Journal of Economic History,Cliometrica,"Economic history, Topic models, Latent Dirichlet allocation, Cliometrics, Digitization, Methodology",A12; C18; N01,2019-01-22,https://econpapers.repec.org/article/sprcliomt/v_3a13_3ay_3a2019_3ai_3a1_3ad_3a10.1007_5fs11698-018-0171-7.htm
Anna Missiaia,2019,Market versus endowment: explaining early industrial location in Italy (1871–1911),Cliometrica,"Economic geography, Economic history of Italy, Industrial location",N33; N73; N93; O18; R11,2019-01-22,https://econpapers.repec.org/article/sprcliomt/v_3a13_3ay_3a2019_3ai_3a1_3ad_3a10.1007_5fs11698-018-0172-6.htm
Vincent Geloso,2019,"Distinct within North America: living standards in French Canada, 1688–1775",Cliometrica,"Canadian economic history, Quebec economic history, Colonial origins of divergence, Living standards, Welfare ratios, Real wages",N11; N31; N91,2019-04-17,https://econpapers.repec.org/article/sprcliomt/v_3a13_3ay_3a2019_3ai_3a2_3ad_3a10.1007_5fs11698-018-0177-1.htm
Emanuele Felice,2019,Rethinking the take-off: the role of services in the new economic history of Italy (1861–1951),Cliometrica,"Italy, Services, Industry, Time series, National accounts",N13; N14; N73; N74; O14,2019-08-24,https://econpapers.repec.org/article/sprcliomt/v_3a13_3ay_3a2019_3ai_3a3_3ad_3a10.1007_5fs11698-018-0179-z.htm
Andrew Bossie,2020,Monetary and fiscal interactions in the USA during the 1940s,Cliometrica,"World War II, Banking, Fiscal policy, Monetary policy",E51; E62; H56; N22; N42,2020-01-10,https://econpapers.repec.org/article/sprcliomt/v_3a14_3ay_3a2020_3ai_3a1_3ad_3a10.1007_5fs11698-019-00182-1.htm
Adomas Klimantas and Aras Zirgulis,2020,A new estimate of Lithuanian GDP for 1937: How does interwar Lithuania compare?,Cliometrica,"GDP, Interwar, Lithuania, Baltics, Maddison Project, Economic growth, Communism",N14; O1,2020-04-15,https://econpapers.repec.org/article/sprcliomt/v_3a14_3ay_3a2020_3ai_3a2_3ad_3a10.1007_5fs11698-019-00189-8.htm
Gabriel P. Mathy,2020,How much did uncertainty shocks matter in the Great Depression?,Cliometrica,"Uncertainty shocks, Great Depression, Historical decomposition",D80; E32; N12,2020-04-15,https://econpapers.repec.org/article/sprcliomt/v_3a14_3ay_3a2020_3ai_3a2_3ad_3a10.1007_5fs11698-019-00190-1.htm
Adrien Montalbo,2020,Industrial activities and primary schooling in early nineteenth-century France,Cliometrica,"Primary instruction, Industrial activities, Nineteenth-century France",N33; N63,2020-04-15,https://econpapers.repec.org/article/sprcliomt/v_3a14_3ay_3a2020_3ai_3a2_3ad_3a10.1007_5fs11698-019-00191-0.htm
Douglas W. Allen and Bryan Leonard,2020,How many rushed during the Oklahoma land openings?,Cliometrica,"Homesteading, Land rush, Racing, Oklahoma",N21; N51; N91,2020-04-15,https://econpapers.repec.org/article/sprcliomt/v_3a14_3ay_3a2020_3ai_3a2_3ad_3a10.1007_5fs11698-019-00193-y.htm
Brian Varian,2020,The manufacturing comparative advantages of late-Victorian Britain,Cliometrica,"Manufacturing, Comparative advantage, Britain, Nineteenth century",F11; N63; N73,2020-08-05,https://econpapers.repec.org/article/sprcliomt/v_3a14_3ay_3a2020_3ai_3a3_3ad_3a10.1007_5fs11698-019-00195-w.htm
Vincent Geloso and Peter Lindert,2020,"Relative costs of living, for richer and poorer, 1688–1914",Cliometrica,"Real inequality, Price-index, Inequality",D60; N16; N30,2020-08-05,https://econpapers.repec.org/article/sprcliomt/v_3a14_3ay_3a2020_3ai_3a3_3ad_3a10.1007_5fs11698-019-00197-8.htm
"Chen Feng, Beibei Shi and Ming Xu",2020,The political origin of differences in long-term economic prosperity: centralization versus decentralization,Cliometrica,"Political institutions, Centralization, Decentralization, TS, Long-term economic prosperity",N45; N95; R11,2020-08-05,https://econpapers.repec.org/article/sprcliomt/v_3a14_3ay_3a2020_3ai_3a3_3ad_3a10.1007_5fs11698-020-00203-4.htm
"Maria Carmela Schisani, Luigi Balletta and Giancarlo Ragozini",2021,Crowding out the change: business networks and persisting economic elites in the South of Italy over Unification (1840–1880),Cliometrica,"Economic elites, Social network analysis, Italian Unification, Economic history of the South of Italy in the nineteenth century",L14; N23; N83; N93,2021-01-25,https://econpapers.repec.org/article/sprcliomt/v_3a15_3ay_3a2021_3ai_3a1_3ad_3a10.1007_5fs11698-020-00204-3.htm
Amélie Charles and Olivier Darné,2021,Econometric history of the growth–volatility relationship in the USA: 1919–2017,Cliometrica,"Growth–volatility relationship, Breaks, Shock, GARCH-M model, Cliometrics",C22; E32; N12; O40,2021-03-31,https://econpapers.repec.org/article/sprcliomt/v_3a15_3ay_3a2021_3ai_3a2_3ad_3a10.1007_5fs11698-020-00209-y.htm
Samuel Garrido,2021,Inequality and conflict as drivers of cooperation: the location of wine cooperatives in pre-1936 Spain,Cliometrica,"Wine, Cooperation, Inequality, Social conflict, Spain, Catalonia",D74; L66; N54; P13; Q13,2021-03-31,https://econpapers.repec.org/article/sprcliomt/v_3a15_3ay_3a2021_3ai_3a2_3ad_3a10.1007_5fs11698-020-00210-5.htm
Keith Meyers and Melissa A. Thomasson,2021,Can pandemics affect educational attainment? Evidence from the polio epidemic of 1916,Cliometrica,"Epidemics, Polio, Schooling disruption, Educational attainment",I18; I26; N22; N3,2021-03-31,https://econpapers.repec.org/article/sprcliomt/v_3a15_3ay_3a2021_3ai_3a2_3ad_3a10.1007_5fs11698-020-00212-3.htm
Joyce Burnette,2021,Missing work: absenteeism at Pepperell Manufacturing Co. in 1883,Cliometrica,"Work intensity, Textile factory, Absence, Weavers, Absenteeism, Days of work",J22; N31,2021-08-29,https://econpapers.repec.org/article/sprcliomt/v_3a15_3ay_3a2021_3ai_3a3_3ad_3a10.1007_5fs11698-020-00215-0.htm
Zenonas Norkus and Jurgita Markevičiūtė,2021,New estimation of the gross domestic product in Baltic countries in 1913–1938,Cliometrica,"GDP, Estonia, Latvia, Lithuania, Baltic countries, Economic growth, Economic decline, Export-oriented industrialization, Entrepôt industrial economy, Deindustrialization, Reagrarization",N14; N34,2021-08-29,https://econpapers.repec.org/article/sprcliomt/v_3a15_3ay_3a2021_3ai_3a3_3ad_3a10.1007_5fs11698-020-00216-z.htm
Pim Zwart,2022,Inequality in late colonial Indonesia: new evidence on regional differences,Cliometrica,"Southeast Asia, Inequality, Colonialism, Globalization",F6; I3; N3; N5; N7,2022-01-08,https://econpapers.repec.org/article/sprcliomt/v_3a16_3ay_3a2022_3ai_3a1_3ad_3a10.1007_5fs11698-020-00220-3.htm
Leandro Prados de la Escosura,2022,"Capital in Spain, 1850–2019",Cliometrica,"Capital stock and services, Capital deepening, Capital-output ratio, Spain",D24; E01; E22; N33; N34,2022-01-08,https://econpapers.repec.org/article/sprcliomt/v_3a16_3ay_3a2022_3ai_3a1_3ad_3a10.1007_5fs11698-020-00221-2.htm
"Klas Rönnbäck, Oskar Broberg and Stefania Galli",2022,"A colonial cash cow: the return on investments in British Malaya, 1889–1969",Cliometrica,"Return on investments, Colonialism, Imperialism, Malaya, Asia, Twentieth century",F21; F54; G15; N25,2022-01-08,https://econpapers.repec.org/article/sprcliomt/v_3a16_3ay_3a2022_3ai_3a1_3ad_3a10.1007_5fs11698-021-00223-8.htm
Rebeca Echávarri,2022,Neonatal discrimination and excess female mortality in childhood in Spain in the first half of the twentieth century,Cliometrica,"Child development, Sex-based discrimination, Mortality, War, Kinship systems, Bargaining power",I3; J16; N34; N44,2022-01-08,https://econpapers.repec.org/article/sprcliomt/v_3a16_3ay_3a2022_3ai_3a1_3ad_3a10.1007_5fs11698-021-00225-6.htm
Paola Azar,2022,Politics as a determinant of primary school provision: the case of Uruguay,Cliometrica,"Public schooling, Distributive politics, Pork barrel",D72; H75; I28; N36,2022-05-13,https://econpapers.repec.org/article/sprcliomt/v_3a16_3ay_3a2022_3ai_3a2_3ad_3a10.1007_5fs11698-021-00228-3.htm
Robert Allen and Leander Heldring,2022,The Collapse of Civilization in Southern Mesopotamia,Cliometrica,"Irrigation, State capacity, Mesopotamia, Taxation, Collapse",H2; H4; H54; N55; Q15,2022-05-13,https://econpapers.repec.org/article/sprcliomt/v_3a16_3ay_3a2022_3ai_3a2_3ad_3a10.1007_5fs11698-021-00229-2.htm
Facundo Alvaredo and Anthony Atkinson,2022,Top incomes in South Africa in the twentieth century,Cliometrica,"Top incomes, South Africa, Pareto, Colonial history, Inequality",D3; H0; N3,2022-08-25,https://econpapers.repec.org/article/sprcliomt/v_3a16_3ay_3a2022_3ai_3a3_3ad_3a10.1007_5fs11698-021-00235-4.htm
Jason Dean and Vincent Geloso,2022,"The linguistic wage gap in Quebec, 1901 to 1951",Cliometrica,"Canadian economic history, Discrimination, Wage gap, Quebec economic history",J42; N11; R52,2022-08-25,https://econpapers.repec.org/article/sprcliomt/v_3a16_3ay_3a2022_3ai_3a3_3ad_3a10.1007_5fs11698-021-00236-3.htm
John Dove and William J. Byrd,2022,Judicial independence and lynching in historical context: an analysis of US States,Cliometrica,"Judicial independence, Lynch, Mob violence, Property rights, Development",D74; H73; K14; N41; N42; O17; P16,2022-08-25,https://econpapers.repec.org/article/sprcliomt/v_3a16_3ay_3a2022_3ai_3a3_3ad_3a10.1007_5fs11698-021-00238-1.htm
Christopher David Absell,2023,British slave emancipation and the demand for Brazilian sugar,Cliometrica,"British slave emancipation, Sugar, Brazil, Nineteenth century",F13; N76; Q02,2023-01-11,https://econpapers.repec.org/article/sprcliomt/v_3a17_3ay_3a2023_3ai_3a1_3ad_3a10.1007_5fs11698-021-00241-6.htm
Vincent Geloso,2023,"Unenlightened peasants? Farming techniques among French-Canadians, circa 1851",Cliometrica,"Canadian economic history, Quebec economic history, Agricultural productivity, Cultural differences",N51; N91; Q12,2023-04-23,https://econpapers.repec.org/article/sprcliomt/v_3a17_3ay_3a2023_3ai_3a2_3ad_3a10.1007_5fs11698-022-00249-6.htm
Pau Insa-Sánchez and Alfonso Díez-Minguela,2023,"Starting high school? On the origins of secondary education in Spain, 1857–1901",Cliometrica,"Secondary education, Schooling, Human capital, Spain, 19th century",I25; N33; N93,2023-04-23,https://econpapers.repec.org/article/sprcliomt/v_3a17_3ay_3a2023_3ai_3a2_3ad_3a10.1007_5fs11698-022-00251-y.htm
Ulbe Bosma and Bas Leeuwen,2023,"Regional variation in the GDP per capita of colonial Indonesia, 1870–1930",Cliometrica,"GDP, Indonesia, Living standards, Wages, Prices",N15; N35; N95; O11; O40,2023-04-23,https://econpapers.repec.org/article/sprcliomt/v_3a17_3ay_3a2023_3ai_3a2_3ad_3a10.1007_5fs11698-022-00252-x.htm
Manuel Perez-Garcia,2023,"Testing the “trickle-down” theory through GECEM database: consumer behaviour, Chinese goods, and trade networks in the Western Mediterranean, 1730–1808",Cliometrica,"Global (Economic) History, “Trickle-down” theory, GECEM Project Database, China-Europe, Consumer behaviour, Social network analysis",B3; B4; N3; O1,2023-08-28,https://econpapers.repec.org/article/sprcliomt/v_3a17_3ay_3a2023_3ai_3a3_3ad_3a10.1007_5fs11698-022-00253-w.htm
Vania Licio,2023,"The Italian coal shortage: the price of import and distribution, 1861–1911",Cliometrica,"Coal, Italy, Provinces, Railways, Infrastructure, Transport costs",N13; N53; N73; N93; O13; Q41,2023-08-28,https://econpapers.repec.org/article/sprcliomt/v_3a17_3ay_3a2023_3ai_3a3_3ad_3a10.1007_5fs11698-022-00256-7.htm
"Albrecht Ritschl, Samad Sarferaz and Martin Uebele",2016,"The U.S. Business Cycle, 1867-2006: A Dynamic Factor Approach",The Review of Economics and Statistics ,"U.S. business cycle, volatility, dynamic factor analysis, monetary policy",C43; E32; N11; N12,2016-10-05,https://econpapers.repec.org/article/tprrestat/v_3a98_3ay_3a2016_3ai_3a1_3ap_3a159-172.htm
Leandro Prados de la Escosura and Isabel Sanz-Villarroya,2009,"Contract enforcement, capital accumulation, and Argentina's long-run decline",Cliometrica,"Contract intensive money, Economic decline, Argentina",D23; N16; N26; N46; O43,2008-11-23,https://econpapers.repec.org/article/afccliome/v_3a3_3ay_3a2009_3ai_3a1_3ap_3a1-26.htm
Leandro Prados de la Escosura,2016,Mismeasuring long-run growth: the bias from splicing national accounts—the case of Spain,Cliometrica,"Growth measurement, Splicing GDP, Historical national accounts, Spain",C82; E01; N13; O47,2017-01-10,https://econpapers.repec.org/article/afccliome/v_3a10_3ay_3a2016_3ai_3a3_3ap_3a251-275.htm
Leandro Prados de la Escosura,2022,"Capital in Spain, 1850–2019",Cliometrica,Capital stock and services · Capital deepening · Capital-output ratio · Spain,D24; E01; E22; N33; N34,2022-01-09,https://econpapers.repec.org/article/afccliome/v_3a16_3ay_3a2022_3ai_3a1_3ap_3a1-28.htm
"Ellora Derenoncourt, Chi Hyun Kim, Moritz Kuhn and Moritz Schularick",2023,Changes in the Distribution of Black and White Wealth since the US Civil War,Journal of Economic Perspectives ,,D31; G51; J15; N31; N32,2023-11-04,https://econpapers.repec.org/article/aeajecper/v_3a37_3ay_3a2023_3ai_3a4_3ap_3a71-90.htm
Sheilagh Ogilvie,2014,The Economics of Guilds,Journal of Economic Perspectives ,,D02; D72; L14; L22; N40; O30,2014-11-12,https://econpapers.repec.org/article/aeajecper/v_3a28_3ay_3a2014_3ai_3a4_3ap_3a169-92.htm
"Muhamad Rias K V Zainuddin, Nurul Aishah Khairuddin and Hakimah Nur Ahmad Hamidi",2021,Impact of COVID-19 on Malaysiaâ€™s Bilateral Export - Testing for Heterogeneous Effects in the Product Category,Asian Economics Letters ,"malaysia, export,covid-19",F14; L1; N75,2022-12-08,https://econpapers.repec.org/article/aybjrnael/49.htm
"C. T. Vidya, World Trade Network and Covid-19",2021,Has Covid-19 Shaken the World Trade and Chinaâ€™s Preeminence?,Asian Economics Letters ,"china,world trade network,covid-19",F1; L1; N75,2022-12-08,https://econpapers.repec.org/article/aybjrnael/50.htm
"Zenonas Norkus, Jurgita Markevičiūtė, Ola Grytten, Jānis Šiliņš and Adomas Klimantas",2024,Benchmarking Latvia’s economy: a new estimate of gross domestic product in the 1930s,Cliometrica,"Interwar Latvia, National accounting, Gross domestic product (GDP), Relative productivity, Composition of output",E01; N14; O47,2024-01-04,https://econpapers.repec.org/article/sprcliomt/v_3a18_3ay_3a2024_3ai_3a1_3ad_3a10.1007_5fs11698-022-00260-x.htm
Jonas Ljungberg,2024,Competitive devaluations in the 1930s: myth or reality?,Cliometrica,"Interwar, Europe, Exchange rates, Trade, Depression",E4; F4; N1; N12; N14,2024-01-04,https://econpapers.repec.org/article/sprcliomt/v_3a18_3ay_3a2024_3ai_3a1_3ad_3a10.1007_5fs11698-022-00262-9.htm
Leonardo Ridolfi,2024,"Gender inequality in a transition economy: heights and sexual height dimorphism in Southwestern France, 1640–1850",Cliometrica,"Gender inequality, Heights, Sexual height dimorphism, France, Fertility transition",J16; N33; O11,2024-01-04,https://econpapers.repec.org/article/sprcliomt/v_3a18_3ay_3a2024_3ai_3a1_3ad_3a10.1007_5fs11698-023-00264-1.htm
Thomas Brenner and Sonja Jeddeloh,2024,Path dependence in an evolving system: a modeling perspective,Cliometrica,"Path dependence, Paths, Lock-in, Path-breaking, Path-furrowing, Path plasticity, Path formation, Path creation, Path selection, Evolving systems",C02; C61; N01; O10,2024-01-04,https://econpapers.repec.org/article/sprcliomt/v_3a18_3ay_3a2024_3ai_3a1_3ad_3a10.1007_5fs11698-023-00266-z.htm
Lisa Sella and Roberto Marchionatti,2012,"On the cyclical variability of economic growth in Italy, 1881–1913: a critical note",Cliometrica,"Economic growth, Business cycles, Italian economic history, Luigi Einaudi, Spectral methods",B13; C22; E32; N13,2012-10-15,https://econpapers.repec.org/article/afccliome/v_3a6_3ay_3a2012_3ai_3a3_3ap_3a307-328.htm
Roberta Dessi and Salvatore Piccolo,2016,"Merchant guilds, taxation and social capital",European Economic Review ,Merchant guild; Social capital; Trade; Taxation;,L20; L43; N7; N8,2016-03-15,https://econpapers.repec.org/article/eeeeecrev/v_3a83_3ay_3a2016_3ai_3ac_3ap_3a90-110.htm
Matthias Flückiger and Markus Ludwig,2017,"Malaria suitability, urbanization and persistence: Evidence from China over more than 2000 years",European Economic Review ,Malaria; Urbanization; Economic growth; China;,I15; N15; O18; R12,2017-04-12,https://econpapers.repec.org/article/eeeeecrev/v_3a92_3ay_3a2017_3ai_3ac_3ap_3a146-160.htm
"Paul Castañeda Dower, Andrei Markevich and Shlomo Weber",2021,The value of a statistical life in a dictatorship: Evidence from Stalin,European Economic Review ,Value of a statistical life; Autocracy; Stalin; Great Terror;,I30; J17; N44; P51,2021-03-23,https://econpapers.repec.org/article/eeeeecrev/v_3a133_3ay_3a2021_3ai_3ac_3as0014292121000167.htm
Daniel Auer and Daniel Meierrieks,2021,Merchants of death: Arms imports and terrorism,European Economic Review ,Arms imports; Terrorism; Instrumental variable approach;,C36; D74; F59; N40,2021-07-17,https://econpapers.repec.org/article/eeeeecrev/v_3a137_3ay_3a2021_3ai_3ac_3as0014292121001574.htm
Leandro de Magalhaes and Francesco Giovannoni,2022,War and the rise of parliaments,European Economic Review ,Political transitions; Democratic window of opportunity; Wars; Glorious revolution; Commitment; Parliament; Autocracy; Democracy;,H11; N40; P16,2022-10-03,https://econpapers.repec.org/article/eeeeecrev/v_3a148_3ay_3a2022_3ai_3ac_3as0014292122001131.htm
Martin Dohmen,2022,Freedom of enterprise and economic development in the German industrial take-off,European Economic Review ,Institutions; Guilds; Industrial Revolution; Market size; Economic history;,N13; N43; O43; O47,2022-10-03,https://econpapers.repec.org/article/eeeeecrev/v_3a148_3ay_3a2022_3ai_3ac_3as0014292122000915.htm
