publication.year,source.title,eh,n_articles,ave_authors,sd_authors,tot_cite,ave_cite,sd_cite,M_cit,keywords,top1keyword,top2keyword,top3keyword,n_keywords,keyword_entropy,funders,top1funder,top2funder,top3funder,n_funding,n_econometric_margo,n_econometric_other,country,continent,new_keywords
2018,SOCIAL SCIENCE HISTORY,1,1,1,NA,1,1,NA,1,,None,None,None,0,-0,,None,None,None,0,0,1,Italy,Europe,0
2019,AMERICAN ECONOMIC REVIEW,0,1,1,NA,58,58,NA,58,TRADE LIBERALIZATION;  PRODUCTIVITY;  SPILLOVERS;  SELECTION;  WAGES;  FIRMS,FIRMS,PRODUCTIVITY,SELECTION,6,-0,,None,None,None,0,0,0,Italy,Europe,0
2019,CLIOMETRICA,1,2,1,0,9,4.5,4.949747468305833,8,INDUSTRIAL-GROWTH;  BANKS; REGIONAL-DEVELOPMENT;  GROWTH,BANKS,GROWTH,REGIONAL-DEVELOPMENT,4,-0,,None,None,None,0,0,1,Italy,Europe,0
2019,ECONOMIC HISTORY REVIEW,1,4,1.25,0.5,69,17.25,22.76510487566442,48,ECONOMIC-INEQUALITY;  BLACK-DEATH;  MEDIEVAL;  CITY;  URBANIZATION;  DIVERGENCE;  GUILDS;  EUROPE;  WAR; ECONOMIC OUTCOMES;  INTERNATIONAL MIGRATION;  ITALIAN IMMIGRANTS;  SELF-SELECTION;  LABOR-MARKETS;  UNITED-STATES;  SAO-PAULO;  19TH-CENTURY;  ARGENTINA;  BRAZIL,19TH-CENTURY,ARGENTINA,BLACK-DEATH,19,-0,,None,None,None,0,0,1,Italy,Europe,2
2019,EUROPEAN JOURNAL OF POLITICAL ECONOMY,0,1,3,NA,19,19,NA,19,REGRESSION DISCONTINUITY DESIGNS;  DECENTRALIZATION;  POLICY;  RULES,DECENTRALIZATION,POLICY,RULES,4,-0,,None,None,None,0,0,1,Italy,Europe,0
2019,EUROPEAN REVIEW OF ECONOMIC HISTORY,1,2,1.5,0.7071067811865476,49,24.5,0.7071067811865476,25,ECONOMIC-GROWTH;  INDUSTRIAL-GROWTH;  PER-CAPITA;  INEQUALITY; GROWTH,INDUSTRIAL-GROWTH,INEQUALITY,PER-CAPITA,5,-0,,None,None,None,0,0,2,Italy,Europe,1
2019,EXPLORATIONS IN ECONOMIC HISTORY,1,2,3,0,7,3.5,2.1213203435596424,5,SELF-SELECTION;  IMPORT COMPETITION;  EMIGRATION;  AGE;  NETWORKS;  GROWTH;  POOR; NEIGHBORHOOD KNOWLEDGE;  INSTITUTIONS;  INHERITANCE;  GOVERNANCE;  STABILITY;  TRAGEDY;  COMMONS;  VALLEY,AGE,COMMONS,EMIGRATION,15,-0,,None,None,None,0,0,1,Italy,Europe,2
2019,JOURNAL OF INTERDISCIPLINARY HISTORY,1,4,1.5,1,9,2.25,2.8722813232690143,6,CLIMATE-CHANGE;  VARIABILITY;  DYNAMICS;  INSIGHTS,DYNAMICS,INSIGHTS,VARIABILITY,4,-0,,None,None,None,0,0,2,Italy,Europe,1
2020,CLIOMETRICA,1,1,1,NA,2,2,NA,2,,None,None,None,0,-0,,None,None,None,0,0,0,Italy,Europe,0
2020,ECONOMIC HISTORY REVIEW,1,4,1.5,0.5773502691896257,30,7.5,13.025615788386615,27,SELF-SELECTION;  ECONOMIC OUTCOMES;  INNOVATION;  EXPANSION;  MIGRATION;  EDUCATION;  REGIONS;  GROWTH; PSYCHOLOGY; ECONOMIC-GROWTH;  STRUCTURAL-CHANGE;  POPULATION;  STAGNATION,ECONOMIC OUTCOMES,EDUCATION,EXPANSION,13,-0,,None,None,None,0,0,2,Italy,Europe,0
2020,EUROPEAN JOURNAL OF POLITICAL ECONOMY,0,1,1,NA,1,1,NA,1,PORK-BARREL POLITICS;  ECONOMIC INTERESTS;  PROPORTIONAL REPRESENTATION;  POLICY;  PROTECTION;  TARIFF;  DETERMINANTS;  IDEOLOGY;  CONSTITUENCY;  AGRICULTURE,AGRICULTURE,CONSTITUENCY,DETERMINANTS,10,-0,,None,None,None,0,1,1,Italy,Europe,3
2020,EUROPEAN REVIEW OF ECONOMIC HISTORY,1,1,1,NA,2,2,NA,2,HISTORICAL-PERSPECTIVE;  TECHNOLOGY;  STATISTICS;  KNOWLEDGE;  GROWTH;  MARKET,GROWTH,KNOWLEDGE,MARKET,6,-0,,None,None,None,0,0,1,Italy,Europe,0
2020,EXPLORATIONS IN ECONOMIC HISTORY,1,2,2.5,2.1213203435596424,14,7,7.0710678118654755,12,DEMOCRATIC PEACE;  TRADE; CONSTRUCTION,TRADE,CONSTRUCTION,DEMOCRATIC PEACE,3,-0,,None,None,None,0,0,1,Italy,Europe,0
2020,JOURNAL OF INTERDISCIPLINARY HISTORY,1,5,1.4,0.8944271909999159,6,2,1.7320508075688772,3,EXPLOSIVITY INDEX VEI;  VOLCANIC RISK;  SOMMA-VESUVIUS;  AUGUSTUS-VILLA;  LATE-ANTIQUE;  PERCEPTION;  IMPACT;  HAZARD;  COMMUNITIES;  DISASTERS,AUGUSTUS-VILLA,COMMUNITIES,DISASTERS,10,-0,,None,None,None,0,0,0,Italy,Europe,6
2021,CLIOMETRICA,1,5,2.8,0.8366600265340756,21,5.25,4.5,9,INDUSTRIAL;  GROWTH;  POWER;  LOCATION;  REGIONS;  MARKET;  INDEX; ECONOMIC-GROWTH;  REGIONS;  INEQUALITY;  FERTILITY;  WOMEN; REAL WAGES;  GLOBALIZATION;  APPRENTICESHIP;  INNOVATION;  GROWTH;  AGE,GROWTH,REGIONS,AGE,18,-0,,None,None,None,0,1,3,Italy,Europe,0
2021,ECONOMIC HISTORY REVIEW,1,2,2,0,0,NA,NA,-Inf,,None,None,None,0,-0,,None,None,None,0,0,0,Italy,Europe,0
2021,ECONOMIC MODELLING,0,1,2,NA,2,2,NA,2,TIME-SERIES;  UNIT-ROOT;  GRAIN MARKETS;  INTEGRATION;  LAW,GRAIN MARKETS,INTEGRATION,LAW,5,-0,,None,None,None,0,0,1,Italy,Europe,0
2021,EUROPEAN REVIEW OF ECONOMIC HISTORY,1,5,1.8,0.8366600265340756,9,2.25,2.8722813232690143,6,REVOLUTION;  EDUCATION; ITALY REGIONS;  GLOBALIZATION;  GROWTH;  DIVERGENCE;  MEDIEVAL;  DECLINE;  AGE; EXCHANGE-RATE REGIMES;  INTERNATIONAL-TRADE;  ECONOMIC-GROWTH;  BUENOS-AIRES;  WORLD-TRADE;  1ST WAVE;  GRAVITY;  GLOBALIZATION;  INTEGRATION;  SPILLOVERS,GLOBALIZATION,1ST WAVE,AGE,19,-0,,None,None,None,0,1,3,Italy,Europe,1
2021,EXPLORATIONS IN ECONOMIC HISTORY,1,1,3,NA,1,1,NA,1,SELF-SELECTION;  UNITED-STATES;  ECONOMIC OUTCOMES;  LABOR-MARKET;  IMMIGRANTS;  INCOME;  EARNINGS;  MIGRANTS;  MOBILITY;  NATION,EARNINGS,ECONOMIC OUTCOMES,IMMIGRANTS,10,-0,,None,None,None,0,0,0,Italy,Europe,0
2021,JOURNAL OF INTERDISCIPLINARY HISTORY,1,3,1,0,0,0,0,0,,None,None,None,0,-0,,None,None,None,0,0,0,Italy,Europe,0
2021,SOCIAL SCIENCE HISTORY,1,1,3,NA,0,NA,NA,-Inf,,None,None,None,0,-0,,None,None,None,0,0,0,Italy,Europe,0
2022,ECONOMIC HISTORY REVIEW,1,4,2.75,0.5,18,4.5,6.454972243679028,14,GROWTH;  PARTICIPATION;  INEQUALITY;  ECONOMY;  DECLINE;  PLAGUE;  EUROPE; POLITICAL-ECONOMY;  MARKET;  REGULATIONS;  EUROPE; NUMERACY;  LITERACY;  PATTERNS;  POVERTY;  STATES;  TIME,EUROPE,DECLINE,ECONOMY,17,-0,,None,None,None,0,0,2,Italy,Europe,1
2022,EUROPEAN REVIEW OF ECONOMIC HISTORY,1,2,2,0,6,3,4.242640687119285,6,RISE;  POPULATION;  ENGLAND;  ECONOMY;  PLAGUE;  EUROPE;  WAR; LIFE EXPECTANCY;  SPANISH FLU;  MORTALITY;  PLAGUE;  CONSEQUENCES;  INACTIVATION;  EPIDEMIC;  EUROPE;  SHOCKS;  HEALTH,EUROPE,PLAGUE,CONSEQUENCES,17,-0,,None,None,None,0,0,2,Italy,Europe,2
2022,SOCIAL SCIENCE HISTORY,1,2,2,0,3,1.5,0.7071067811865476,2,COURTS;  LAW; MEDIA ATTENTION;  AMERICAN SOUTH;  VIOLENCE,AMERICAN SOUTH,LAW,VIOLENCE,5,-0,,None,None,None,0,0,2,Italy,Europe,1
2023,CLIOMETRICA,1,3,1.3333333333333333,0.5773502691896257,2,0.6666666666666666,0.5773502691896258,1,ECONOMIC-GROWTH;  SPAIN;  INVESTMENT;  PRICES;  17TH; INSTITUTIONS;  EXPANSION;  EDUCATION;  INDUSTRY;  RATES; INDUSTRIAL-REVOLUTION;  LOCATION;  GROWTH;  MARKET;  ECONOMY;  ORIGINS;  ENERGY;  WAGES,17TH,ECONOMY,EDUCATION,18,-0,Spanish Ministry of Science and Innovation [PID2021-1280100B-I00],Spanish Ministry of Science and Innovation [PID2021-1280100B-I00],None,None,1,0,3,Italy,Europe,1
2023,ECONOMIC HISTORY REVIEW,1,2,1,0,0,0,0,0,SOUTH;  LAND;  TECHNOLOGY,LAND,TECHNOLOGY,SOUTH,3,-0,,None,None,None,0,1,1,Italy,Europe,0
2023,ECONOMICS LETTERS,0,1,3,NA,0,0,NA,0,NONLINEAR MONETARY DYNAMICS;  LYAPUNOV EXPONENTS;  VELOCITY;  TESTS,LYAPUNOV EXPONENTS,TESTS,VELOCITY,4,-0,,None,None,None,0,0,0,Italy,Europe,2
2023,EUROPEAN JOURNAL OF POLITICAL ECONOMY,0,2,3,0,5,2.5,0.7071067811865476,3,NATURAL DISASTERS;  INSTITUTIONS;  COOPERATION;  TRUST;  RISK;  TRANSMISSION;  GOVERNMENT;  EVOLUTION;  CULTURE;  ORIGINS; ECONOMIC-GROWTH;  LABOR-MARKET;  GOLDEN-AGE;  INSTITUTIONS;  CONVERGENCE;  UNEMPLOYMENT;  CORRUPTION;  GOVERNMENT;  QUALITY;  ORIGINS,GOVERNMENT,INSTITUTIONS,ORIGINS,20,-0,,None,None,None,0,0,2,Italy,Europe,0
2023,EUROPEAN REVIEW OF ECONOMIC HISTORY,1,5,1.8,0.8366600265340756,6,1.2,0.8366600265340756,2,ECONOMIC-GROWTH;  REAL WAGES;  ENGLAND;  INDUSTRY;  INSTITUTIONS;  PERSPECTIVE;  DIVERGENCE;  INNOVATION;  LOCATION;  PRICES; INSTITUTIONS; LIVING STANDARDS;  TROUBLING TRADEOFFS;  LATIN-AMERICA;  WELFARE;  CHOICE;  INDICATORS;  VARIABLES;  SEARCH;  GROWTH;  LIFE; ECONOMICS;  PAINTINGS; TIME-SERIES;  GOLDEN-AGE;  EUROPEAN GROWTH;  UNIT-ROOT,CHOICE,DIVERGENCE,ENGLAND,27,-0,,None,None,None,0,0,3,Italy,Europe,2
2023,JOURNAL OF DEVELOPMENT ECONOMICS,0,1,2,NA,0,0,NA,0,LABOR-FORCE PARTICIPATION;  DIVISION-OF-LABOR;  INTERGENERATIONAL TRANSMISSION;  ROLE ATTITUDES;  WOMEN;  COOPERATION;  ENDOWMENTS;  CULTURE;  ORIGINS;  ROOTS,COOPERATION,CULTURE,DIVISION-OF-LABOR,10,-0,,None,None,None,0,0,1,Italy,Europe,2
2023,JOURNAL OF INTERDISCIPLINARY HISTORY,1,4,6.5,9.678154093971983,2,0.5,1,2,PEOPLE DIE;  PLACE;  TRENDS;  SEQUESTRATION;  CREMATION; LAGO-DI-PERGUSA;  VEGETATION HISTORY;  HUMAN IMPACT;  CULTURAL LANDSCAPE;  VARIABILITY;  TUSCANY;  SITE;  PRECIPITATION;  GREENLAND;  MILLENNIA,CREMATION,CULTURAL LANDSCAPE,GREENLAND,15,-0,"Italian Ministero dell'Istruzione, dell'Universita e della Ricerca (MIUR) [2015FR7MKM]; University of Eastern Piedmont",University of Eastern Piedmont,"Italian Ministero dell'Istruzione, dell'Universita e della Ricerca (MIUR) [2015FR7MKM]",None,2,1,3,Italy,Europe,9
2023,REVIEW OF FINANCIAL STUDIES,0,1,2,NA,1,1,NA,1,INTERNATIONAL-TRADE;  CREDIT CONDITIONS;  EXCHANGE-RATES;  BANKS;  TRANSMISSION;  LIQUIDITY;  CHANNEL;  FIRMS;  RISK,BANKS,CHANNEL,CREDIT CONDITIONS,9,-0,,None,None,None,0,0,0,Italy,Europe,0
2024,CLIOMETRICA,1,1,1,NA,0,0,NA,0,,None,None,None,0,-0,,None,None,None,0,0,0,Italy,Europe,0
2024,ECONOMIC HISTORY REVIEW,1,4,1.25,0.5,2,0.5,1,2,PRODUCTIVITY;  MANAGEMENT; MORAL HAZARD;  RISK-TAKING;  CRISES;  NETHERLANDS;  GOVERNANCE;  DISTRESS;  PANICS;  REDUCE;  1920S; PROBATE INVENTORIES;  INEQUALITY;  REVOLUTION;  MIDDLE;  TRENDS; EUROPEAN MARRIAGE PATTERN;  SEX-RATIO;  19TH-CENTURY ENGLAND;  ROUTINE INFANTICIDE;  NEONATAL-MORTALITY;  GENDER;  WOMEN;  BIRTH;  INSTITUTIONS;  LOCATION,1920S,19TH-CENTURY ENGLAND,BIRTH,26,-0,H2020 European Research Council [UB-UC3M-UV];  Economic History Society Student Bursary;  Pembroke College (Oxford);  Einaudi Foundation in Turin;  European Research Council (ERC) under the European Union [883758];  European Research Council (ERC) [883758] Funding Source: European Research Council (ERC),Economic History Society Student Bursary,Einaudi Foundation in Turin,European Research Council (ERC) [883758] Funding Source: European Research Council (ERC),6,0,2,Italy,Europe,2
2024,EUROPEAN ECONOMIC REVIEW,0,1,4,NA,0,0,NA,0,POSTTRAUMATIC-STRESS-DISORDER;  OLDER-ADULTS;  PSYCHOLOGICAL IMPACT;  DEPRESSIVE SYMPTOMS;  HOSPITAL WORKERS;  COPING BEHAVIORS;  REMINISCENCE;  SELF;  ANXIETY;  DETERMINANTS,ANXIETY,COPING BEHAVIORS,DEPRESSIVE SYMPTOMS,10,-0,"Italian Ministry of Education, University and Research under the program Rita Levi Montalcini;  NPO Systemic Risk Institute [LX22NPO5101];  European Union-Next Generation EU (Czech Ministry of Education, Youth and Sports, NPO: EXCELES);  University of Verona [0221872-22/06/2020, AEARCTR-0007419, 61080-15/06/2020]","European Union-Next Generation EU (Czech Ministry of Education, Youth and Sports, NPO: EXCELES)",NPO Systemic Risk Institute [LX22NPO5101],"University of Verona [0221872-22/06/2020, AEARCTR-0007419, 61080-15/06/2020]",4,0,0,Italy,Europe,8
2024,EUROPEAN REVIEW OF ECONOMIC HISTORY,1,2,1,0,4,2,1.4142135623730951,3,FINANCIAL CRISES;  GREAT-DEPRESSION;  MONETARY-POLICY;  BOOMS;  STABILITY;  NETHERLANDS;  COMPETITION;  GROWTH;  MODEL;  1920S; FORCE PARTICIPATION;  WOMEN,1920S,BOOMS,COMPETITION,12,-0,,None,None,None,0,1,2,Italy,Europe,2
2024,EXPLORATIONS IN ECONOMIC HISTORY,1,1,1,NA,0,0,NA,0,MIDDLE-EAST;  WAGES;  WORKERS;  CONTRACTS;  ECONOMY;  SLAVE;  CITY;  VIEW,CITY,CONTRACTS,ECONOMY,8,-0,,None,None,None,0,0,1,Italy,Europe,1
2000,ECONOMIC HISTORY REVIEW,1,2,1,0,81,40.5,57.27564927611035,81,INDUSTRIAL-REVOLUTION;  WORLD;  BARBADOS;  AFRICAN;  JAMAICA;  LABOR;  CANE,AFRICAN,BARBADOS,CANE,7,-0,,None,None,None,0,0,0,Jamaica,N. America,5
2000,JOURNAL OF INTERDISCIPLINARY HISTORY,1,2,1,0,27,13.5,19.091883092036785,27,AFRICAN,AFRICAN,None,None,1,-0,,None,None,None,0,0,0,Jamaica,N. America,1
2001,ECONOMIC HISTORY REVIEW,1,1,1,NA,57,57,NA,57,PROBATE RECORDS;  ECONOMIC-GROWTH;  BRITISH,BRITISH,ECONOMIC-GROWTH,PROBATE RECORDS,3,-0,,None,None,None,0,0,1,Jamaica,N. America,1
2005,ECONOMIC HISTORY REVIEW,1,1,3,NA,68,68,NA,68,BARBADOS,BARBADOS,None,None,1,-0,,None,None,None,0,0,1,Jamaica,N. America,0
2007,ECONOMIC HISTORY REVIEW,1,1,1,NA,0,0,NA,0,,None,None,None,0,-0,,None,None,None,0,0,0,Jamaica,N. America,0
2010,ECONOMIC HISTORY REVIEW,1,2,1,0,28,14,19.79898987322333,28,TRADE;  JAMAICA;  ROYAL,JAMAICA,ROYAL,TRADE,3,-0,,None,None,None,0,0,0,Jamaica,N. America,1
2010,JOURNAL OF INTERDISCIPLINARY HISTORY,1,1,1,NA,0,0,NA,0,,None,None,None,0,-0,,None,None,None,0,0,0,Jamaica,N. America,0
2011,ECONOMIC HISTORY REVIEW,1,1,1,NA,0,0,NA,0,,None,None,None,0,-0,,None,None,None,0,0,0,Jamaica,N. America,0
2013,JOURNAL OF INTERDISCIPLINARY HISTORY,1,1,1,NA,0,0,NA,0,,None,None,None,0,-0,,None,None,None,0,0,0,Jamaica,N. America,0
2016,SOCIAL SCIENCE HISTORY,1,1,1,NA,2,2,NA,2,,None,None,None,0,-0,,None,None,None,0,0,0,Jamaica,N. America,0
2018,ECONOMIC HISTORY REVIEW,1,1,1,NA,13,13,NA,13,SUGAR PLANTATIONS;  HEIGHTS;  EARLY-19TH-CENTURY;  STATURE;  ECONOMY;  WELFARE;  AFRICA;  GROWTH;  HEALTH;  TRENDS,AFRICA,EARLY-19TH-CENTURY,ECONOMY,10,-0,,None,None,None,0,0,1,Jamaica,N. America,1
2018,JOURNAL OF INTERDISCIPLINARY HISTORY,1,1,1,NA,0,0,NA,0,,None,None,None,0,-0,,None,None,None,0,0,0,Jamaica,N. America,0
2019,EXPLORATIONS IN ECONOMIC HISTORY,1,1,3,NA,17,17,NA,17,BRITISH-WEST-INDIES;  SLAVE-TRADE;  PRICES;  WOMEN;  WAGES;  DIVERGENCE;  AMERICA;  ORIGINS;  MARKET;  WEALTH,AMERICA,DIVERGENCE,MARKET,10,-0,,None,None,None,0,1,1,Jamaica,N. America,1
2020,ECONOMIC HISTORY REVIEW,1,1,1,NA,5,5,NA,5,TECHNOLOGY;  ENGLAND;  INNOVATION;  DIFFUSION;  REWARDS;  SLAVERY;  ENGINE;  MARKET,DIFFUSION,ENGINE,ENGLAND,8,-0,,None,None,None,0,0,0,Jamaica,N. America,1
2021,ECONOMIC HISTORY REVIEW,1,1,1,NA,0,NA,NA,-Inf,,None,None,None,0,-0,,None,None,None,0,0,0,Jamaica,N. America,0
2023,ECONOMIC HISTORY REVIEW,1,1,1,NA,0,0,NA,0,BRITISH;  EMANCIPATION,EMANCIPATION,BRITISH,None,2,-0,,None,None,None,0,0,0,Jamaica,N. America,0
2024,CLIOMETRICA,1,1,2,NA,0,0,NA,0,NATURAL DISASTERS;  IMPACT;  PRODUCTIVITY;  MIGRATION;  SLAVERY;  LABOR,IMPACT,LABOR,MIGRATION,6,-0,University of Bern,University of Bern,None,None,1,0,1,Jamaica,N. America,0
1999,ECONOMIC HISTORY REVIEW,1,2,1,0,5,2.5,3.5355339059327378,5,,None,None,None,0,-0,,None,None,None,0,0,0,Japan,Asia,1
1999,JOURNAL OF INTERDISCIPLINARY HISTORY,1,1,1,NA,0,0,NA,0,,None,None,None,0,-0,,None,None,None,0,0,0,Japan,Asia,1
1999,SOCIAL SCIENCE HISTORY,1,1,1,NA,3,3,NA,3,OLD-AGE SECURITY;  RURAL INDIA;  PREINDUSTRIAL JAPAN;  CHINA;  DISCRIMINATION;  PREFERENCE;  FERTILITY;  WIDOWS;  SONS;  MAHARASHTRA,CHINA,DISCRIMINATION,FERTILITY,10,-0,,None,None,None,0,0,0,Japan,Asia,10
2000,ECONOMIC HISTORY REVIEW,1,6,1,0,0,0,0,0,,None,None,None,0,-0,,None,None,None,0,0,0,Japan,Asia,0
2000,HISTORICAL METHODS,1,1,1,NA,6,6,NA,6,REGIONAL INEQUALITIES;  ECONOMIC-GROWTH;  DETERMINANTS;  DISEASE;  HEALTH;  TRENDS;  DEATH;  JAPAN;  LIFE;  AGES,AGES,DEATH,DETERMINANTS,10,-0,,None,None,None,0,0,0,Japan,Asia,6
2000,JOURNAL OF INTERDISCIPLINARY HISTORY,1,2,1,0,0,0,0,0,,None,None,None,0,-0,,None,None,None,0,0,0,Japan,Asia,0
2000,SOCIAL SCIENCE HISTORY,1,1,1,NA,25,25,NA,25,,None,None,None,0,-0,,None,None,None,0,0,0,Japan,Asia,0
2001,ECONOMIC HISTORY REVIEW,1,8,1,0,1,0.125,0.3535533905932738,1,,None,None,None,0,-0,,None,None,None,0,0,0,Japan,Asia,0
2001,JOURNAL OF INTERDISCIPLINARY HISTORY,1,3,1,0,0,0,0,0,,None,None,None,0,-0,,None,None,None,0,0,0,Japan,Asia,0
2002,ECONOMIC HISTORY REVIEW,1,3,1,0,0,0,0,0,,None,None,None,0,-0,,None,None,None,0,0,0,Japan,Asia,0
2002,EXPLORATIONS IN ECONOMIC HISTORY,1,1,1,NA,6,6,NA,6,UNITED-STATES;  MOBILITY;  MIGRATION;  EMIGRANTS;  EARNINGS,EARNINGS,EMIGRANTS,MIGRATION,5,-0,,None,None,None,0,0,0,Japan,Asia,1
2002,JOURNAL OF INTERDISCIPLINARY HISTORY,1,2,1,0,0,0,0,0,,None,None,None,0,-0,,None,None,None,0,0,0,Japan,Asia,0
2003,ECONOMIC HISTORY REVIEW,1,3,1,0,0,0,0,0,,None,None,None,0,-0,,None,None,None,0,0,0,Japan,Asia,0
2003,JOURNAL OF INTERDISCIPLINARY HISTORY,1,1,1,NA,0,0,NA,0,,None,None,None,0,-0,,None,None,None,0,0,0,Japan,Asia,0
2004,ECONOMIC HISTORY REVIEW,1,2,1,0,0,0,0,0,,None,None,None,0,-0,,None,None,None,0,0,0,Japan,Asia,0
2004,JOURNAL OF INTERDISCIPLINARY HISTORY,1,2,1,0,0,0,0,0,,None,None,None,0,-0,,None,None,None,0,0,0,Japan,Asia,0
2005,ECONOMIC HISTORY REVIEW,1,1,1,NA,0,0,NA,0,,None,None,None,0,-0,,None,None,None,0,0,0,Japan,Asia,0
2005,EXPLORATIONS IN ECONOMIC HISTORY,1,1,1,NA,14,14,NA,14,TOKUGAWA JAPAN;  TRADE,TRADE,TOKUGAWA JAPAN,None,2,-0,,None,None,None,0,0,0,Japan,Asia,1
2006,ECONOMIC HISTORY REVIEW,1,1,1,NA,3,3,NA,3,UNITED-STATES;  STRIKE ACTIVITY;  QUITS,QUITS,STRIKE ACTIVITY,UNITED-STATES,3,-0,,None,None,None,0,0,1,Japan,Asia,2
2006,EXPLORATIONS IN ECONOMIC HISTORY,1,3,2.3333333333333335,0.5773502691896258,31,10.333333333333334,4.509249752822894,15,POOR; ECONOMIC-GROWTH; BANKING;  SWEDEN;  WAR,SWEDEN,WAR,BANKING,5,-0,,None,None,None,0,0,1,Japan,Asia,2
2006,JOURNAL OF INTERDISCIPLINARY HISTORY,1,1,1,NA,0,0,NA,0,,None,None,None,0,-0,,None,None,None,0,0,0,Japan,Asia,0
2006,SOCIAL SCIENCE HISTORY,1,3,1.6666666666666667,0.5773502691896257,20,6.666666666666666,7.234178138070235,15,TRAGEDY; CHINESE EXCLUSION;  IMMIGRATION;  RACE; POLICY;  INSTITUTIONS,IMMIGRATION,INSTITUTIONS,RACE,6,-0,,None,None,None,0,0,1,Japan,Asia,3
2007,ECONOMIC HISTORY REVIEW,1,5,1,0,0,0,0,0,,None,None,None,0,-0,,None,None,None,0,0,0,Japan,Asia,0
2007,EXPLORATIONS IN ECONOMIC HISTORY,1,4,1.5,0.5773502691896257,55,13.75,13.889444433333777,34,RATIONAL-EXPECTATIONS;  SPOT;  EFFICIENCY;  STORAGE;  JAPAN; EFFECTIVE EXCHANGE-RATES;  KUZNETS CYCLES,EFFICIENCY,JAPAN,KUZNETS CYCLES,7,-0,,None,None,None,0,0,0,Japan,Asia,5
2007,JOURNAL OF INTERDISCIPLINARY HISTORY,1,6,1,0,0,0,0,0,,None,None,None,0,-0,,None,None,None,0,0,0,Japan,Asia,0
2007,SOCIAL SCIENCE HISTORY,1,1,2,NA,3,3,NA,3,GREAT MIGRATION;  AFRICAN-AMERICANS;  LOS-ANGELES;  WASHINGTON;  CALIFORNIA;  IMPACT,AFRICAN-AMERICANS,CALIFORNIA,IMPACT,6,-0,,None,None,None,0,0,1,Japan,Asia,3
2008,ECONOMIC HISTORY REVIEW,1,3,1,0,0,0,0,0,,None,None,None,0,-0,,None,None,None,0,0,0,Japan,Asia,0
2008,EUROPEAN REVIEW OF ECONOMIC HISTORY,1,1,1,NA,57,57,NA,57,ECONOMIC-DEVELOPMENT;  NEW-WORLD;  INVESTMENT;  GROWTH;  GAINS;  JAPAN;  PERFORMANCE;  COUNTRIES;  AMERICA;  PRICES,AMERICA,COUNTRIES,GAINS,10,-0,,None,None,None,0,0,0,Japan,Asia,2
2008,EXPLORATIONS IN ECONOMIC HISTORY,1,1,2,NA,6,6,NA,6,FINANCIAL INTEGRATION;  UNITED-STATES;  ANTEBELLUM AMERICA;  LATE 19TH-CENTURY;  CAPITAL-MARKET;  INTEREST-RATES;  POPULIST ERA;  DISTANCE,ANTEBELLUM AMERICA,CAPITAL-MARKET,DISTANCE,8,-0,,None,None,None,0,0,1,Japan,Asia,6
2008,JOURNAL OF INTERDISCIPLINARY HISTORY,1,1,1,NA,0,0,NA,0,,None,None,None,0,-0,,None,None,None,0,0,0,Japan,Asia,0
2008,SOCIAL SCIENCE HISTORY,1,3,1,0,17,5.666666666666667,2.0816659994661326,8,PRESCRIPTION;  DEMAND;  CARE; STATE; UNITED-STATES;  FAMILY;  HISTORY;  LIMITATIONS;  POPULATION;  STATISTICS;  CENSUS;  POLICY;  JAPAN,CARE,CENSUS,DEMAND,13,-0,,None,None,None,0,0,1,Japan,Asia,3
2009,ECONOMIC HISTORY REVIEW,1,5,1,0,5,1,2.23606797749979,5,CRITICAL COMMUNITY SIZE;  INTENSIVE EXPOSURE;  POPULATION;  ENGLAND;  EPIDEMICS;  MORTALITY;  DISEASE;  WALES,DISEASE,ENGLAND,EPIDEMICS,8,-0,,None,None,None,0,0,1,Japan,Asia,3
2009,EUROPEAN REVIEW OF ECONOMIC HISTORY,1,2,1.5,0.7071067811865476,76,38,49.49747468305833,73,WAGES;  EUROPE;  PRICES;  INSTITUTIONS;  INEQUALITY;  ECONOMY;  DEMAND;  COST;  JAVA,COST,DEMAND,ECONOMY,9,-0,,None,None,None,0,0,2,Japan,Asia,1
2009,EXPLORATIONS IN ECONOMIC HISTORY,1,1,2,NA,3,3,NA,3,WORLD-WAR-II;  CIVIL-WAR;  STANDARD;  MARKET;  RISK;  REFORMS;  HISTORY;  DEBT,CIVIL-WAR,DEBT,HISTORY,8,-0,,None,None,None,0,0,0,Japan,Asia,1
2009,JOURNAL OF INTERDISCIPLINARY HISTORY,1,1,1,NA,5,5,NA,5,,None,None,None,0,-0,,None,None,None,0,0,0,Japan,Asia,0
2010,EXPLORATIONS IN ECONOMIC HISTORY,1,3,3,1,60,20,27.073972741361768,51,ECONOMIC-GROWTH;  STATURE;  INSTITUTIONS;  JAPAN;  ASIA; INDUSTRIAL PRODUCTIVITY PUZZLE;  TIME-SERIES PROJECTIONS;  UNITED-STATES;  BRITISH;  JAPAN;  JAVA; PURCHASING-POWER PARITY;  BENCHMARK;  PERFORMANCE;  BRITISH;  WORLD;  GDP,BRITISH,JAPAN,ASIA,17,-0,,None,None,None,0,0,2,Japan,Asia,5
2010,JOURNAL OF INTERDISCIPLINARY HISTORY,1,2,1,0,0,0,0,0,,None,None,None,0,-0,,None,None,None,0,0,0,Japan,Asia,0
