publication.year,source.title,n_articles,ave_authors,sd_authors,tot_cite,ave_cite,sd_cite,M_cit,keywords,n_keywords,top1keyword,top2keyword,top3keyword,keyword_entropy,ave_keywords,n_funding,top2funder,top3funder,ave_funding,country,continent,new_keywords
2007,EXP.ECON.HIST.,1,1,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Israel,Asia,NA
2007,J.INTER.HIST.,1,1,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Israel,Asia,NA
2008,AMER.ECON.REV,1,2,NA,96,96,NA,96,MINIMAX;PLAY,2,MINIMAX,PLAY,NA,0.6931471805599453,1,1,NA,NA,NA,Israel,Asia,0
2008,J.PUBLIC.ECON,3,1.3333333333333333,0.5773502691896257,391,130.33333333333334,134.9234350783189,271,SEX;ACHIEVEMENT;PERFORMANCE;MATHEMATICS;ABILITY;DISCRIMINATION;BELIEFS;THREAT;IMPACT;BLIND;GOVERNMENT;BRITAIN,12,ABILITY,ACHIEVEMENT,BELIEFS,2.4849066497880012,1,1,NA,NA,NA,Israel,Asia,1
2008,REV.ECON.STAT.,1,2,NA,27,27,NA,27,TIME;ALLOCATION,2,ALLOCATION,TIME,NA,0.6931471805599453,1,1,NA,NA,NA,Israel,Asia,0
2009,AMER.ECON.REV,2,1.5,0.7071067811865476,343,171.5,21.920310216782973,187,CONTRACTS;TOURNAMENTS;INCENTIVES;GENDER-DIFFERENCES;INFERENCE;INTERVENTION;VOUCHERS;WORKING;PROMISE,9,CONTRACTS,GENDER-DIFFERENCES,INCENTIVES,2.1972245773362196,1,1,NA,NA,NA,Israel,Asia,3
2009,CLIO,1,2,NA,3,3,NA,3,MODELS,1,MODELS,NA,NA,-0,1,1,NA,NA,NA,Israel,Asia,0
2009,ECONOMICS LETTERS,1,2,NA,10,10,NA,10,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Israel,Asia,NA
2009,J.PUBLIC.ECON,2,1.5,0.7071067811865476,49,24.5,10.606601717798213,32,PSYCHOLOGICAL RESPONSES;UNITED-STATES;POLICE;ISRAEL;RATES;BEHAVIOR;ATTACKS;STRESS;GENDER;CITIES;SELF-SELECTION;UNITED-STATES;EARNINGS;WAGES;MARKET;INCENTIVES;IMMIGRANTS;RATES;MODEL,19,RATES,UNITED-STATES,ATTACKS,2.7985132569432944,1.1176470588235294,1,NA,NA,NA,Israel,Asia,2
2010,EU.ECON.REV.,1,2,NA,12,12,NA,12,CONFLICT;ISRAEL,2,CONFLICT,ISRAEL,NA,0.6931471805599453,1,1,NA,NA,NA,Israel,Asia,0
2010,J.DEV.ECON.,1,2,NA,9,9,NA,9,MONETARY-POLICY;UNIT-ROOT,2,MONETARY-POLICY,UNIT-ROOT,NA,0.6931471805599453,1,1,NA,NA,NA,Israel,Asia,0
2011,EU.ECON.REV.,1,2,NA,50,50,NA,50,MASS MIGRATION;IN-DIFFERENCES;ASSIMILATION;EXPERIENCE,4,ASSIMILATION,EXPERIENCE,IN-DIFFERENCES,1.3862943611198906,1,1,NA,NA,NA,Israel,Asia,1
2012,ECON.MODELLING,1,1,NA,1,1,NA,1,MONETARY-POLICY RULES;PASS-THROUGH,2,MONETARY-POLICY RULES,PASS-THROUGH,NA,0.6931471805599453,1,1,NA,NA,NA,Israel,Asia,0
2012,J.PUBLIC.ECON,1,4,NA,68,68,NA,68,ELECTORAL OUTCOMES;TERRORISM;COUNTERTERRORISM;CONFLICT;ATTACKS;ISRAEL;CYCLE;MODEL,8,ATTACKS,CONFLICT,COUNTERTERRORISM,2.0794415416798357,1,1,NA,NA,NA,Israel,Asia,2
2013,ECON.MODELLING,1,5,NA,7,7,NA,7,COMPETITION;IMMIGRATION;WELFARE;MARKET,4,COMPETITION,IMMIGRATION,MARKET,1.3862943611198906,1,1,NA,NA,NA,Israel,Asia,0
2013,J.DEV.ECON.,1,2,NA,36,36,NA,36,ARMED CONFLICT;CIVIL-WAR;MARKET;BRAZIL;EMPLOYMENT;ECONOMY;DEMAND;SHOCKS,8,ARMED CONFLICT,BRAZIL,CIVIL-WAR,2.0794415416798357,1,1,NA,NA,NA,Israel,Asia,0
2013,REV.ECON.STAT.,1,3,NA,89,89,NA,89,WELFARE BENEFITS;FAMILY;BIRTHS;INCOME;WAGES;IMPACT;WORK,7,BIRTHS,FAMILY,IMPACT,1.945910149055313,1,1,NA,NA,NA,Israel,Asia,0
2014,ECON.MODELLING,1,2,NA,0,0,NA,0,BUSINESS CYCLES;HABIT FORMATION;ASSET PRICES,3,ASSET PRICES,BUSINESS CYCLES,HABIT FORMATION,1.0986122886681096,1,1,NA,NA,NA,Israel,Asia,0
2014,EU.ECON.REV.,1,2,NA,26,26,NA,26,TIME;DISHONESTY,2,DISHONESTY,TIME,NA,0.6931471805599453,1,1,NA,NA,NA,Israel,Asia,1
2014,J.ECON.LIT.,1,1,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Israel,Asia,NA
2014,J.PUBLIC.ECON,2,2.5,0.7071067811865476,33,16.5,4.949747468305833,20,VERTICAL INTEGRATION;FIRM BOUNDARIES;PRISON;PUBLIC-GOODS;CONDITIONAL COOPERATION;IMPURE ALTRUISM;KIDNEY EXCHANGE;PROMISES;INCENTIVES;BEHAVIOR;CHAINS,11,BEHAVIOR,CHAINS,CONDITIONAL COOPERATION,2.3978952727983707,1,1,NA,NA,NA,Israel,Asia,1
2015,ECONOMICS LETTERS,1,2,NA,12,12,NA,12,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Israel,Asia,NA
2015,J.PUBLIC.ECON,1,2,NA,34,34,NA,34,MINORITY-GROUP STATUS;EDUCATION;CHILDREN;QUALITY;QUANTITY;HEALTH,6,CHILDREN,EDUCATION,HEALTH,1.7917594692280547,1,1,NA,NA,NA,Israel,Asia,1
2015,REV.ECON.STAT.,1,1,NA,16,16,NA,16,ASYMMETRIC INFORMATION;MARKET;PANEL,3,ASYMMETRIC INFORMATION,MARKET,PANEL,1.0986122886681096,1,1,NA,NA,NA,Israel,Asia,0
2016,EU.ECON.REV.,1,1,NA,5,5,NA,5,ONLINE MARKET;DISCRIMINATION;RACE;ECONOMICS;FIELD,5,DISCRIMINATION,ECONOMICS,FIELD,1.6094379124341005,1,1,NA,NA,NA,Israel,Asia,1
2016,EU.J.POL.ECON.,2,3.5,0.7071067811865476,50,25,9.899494936611665,32,FISCAL PERFORMANCE;FEDERALISM;CHINA;PANEL-DATA;BUSINESS CYCLES;ELECTION CYCLES;ECONOMY;EMPLOYMENT;MODELS;GOVERNMENT;DEMOCRACY;BENEFITS;DEFICITS,13,BENEFITS,BUSINESS CYCLES,CHINA,2.5649493574615376,1,1,NA,NA,NA,Israel,Asia,1
2017,AMER.ECON.REV,1,3,NA,12,12,NA,12,STABILITY;CONTRACTS,2,CONTRACTS,STABILITY,NA,0.6931471805599453,1,1,NA,NA,NA,Israel,Asia,0
2017,ECON.MODELLING,1,3,NA,33,33,NA,33,GLOBAL FINANCIAL CRISIS;EAST-ASIA;CONTAGION;INTERDEPENDENCE;SYNCHRONIZATION,5,CONTAGION,EAST-ASIA,GLOBAL FINANCIAL CRISIS,1.6094379124341005,1,1,NA,NA,NA,Israel,Asia,0
2017,ECONOMICS LETTERS,2,2.5,0.7071067811865476,13,6.5,4.949747468305833,10,ENDINGS;ADJUSTMENT;STICKY;INFORMATION,4,ADJUSTMENT,ENDINGS,INFORMATION,1.3862943611198906,1,1,NA,NA,NA,Israel,Asia,1
2017,EU.ECON.REV.,1,2,NA,8,8,NA,8,OF-ENGLAND MPC;MONETARY-POLICY;COMMITTEE;OUTSIDERS;DISSENT,5,COMMITTEE,DISSENT,MONETARY-POLICY,1.6094379124341005,1,1,NA,NA,NA,Israel,Asia,0
2018,ECON.MODELLING,1,5,NA,45,45,NA,45,EXCHANGE-RATE;UNIT-ROOT;TIME-SERIES;OUTPUT-GAP;INFLATION;ECONOMY;REGIMES;ROBUSTNESS;INTERVENTIONS;MODELS,10,ECONOMY,EXCHANGE-RATE,INFLATION,2.3025850929940455,1,1,NA,NA,NA,Israel,Asia,0
2018,EU.J.POL.ECON.,1,1,NA,5,5,NA,5,STOCK RETURNS;FIRM VALUE;GOVERNMENT;MARKET;FINANCE;PARTY;PERFORMANCE;COMPETITION;OWNERSHIP;CYCLES,10,COMPETITION,CYCLES,FINANCE,2.3025850929940455,1,1,NA,NA,NA,Israel,Asia,0
2018,J.INTER.HIST.,2,1,0,1,0.5,0.7071067811865476,1,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Israel,Asia,NA
2018,J.PUBLIC.ECON,1,2,NA,72,72,NA,72,SEX-DIFFERENCES;TEST-SCORES;SCHOOL;DISCRIMINATION;MATHEMATICS;WOMEN;SOCIALIZATION;EXPECTATIONS;DIVERSITY;CLASSROOM,10,CLASSROOM,DISCRIMINATION,DIVERSITY,2.3025850929940455,1,1,NA,NA,NA,Israel,Asia,0
1999,ECON.HIST.REV.,5,1,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Italy,Europe,NA
1999,ECON.MODELLING,1,2,NA,2,2,NA,2,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Italy,Europe,NA
1999,ECONOMICS LETTERS,1,2,NA,13,13,NA,13,ECONOMIC-GROWTH;OECD COUNTRIES;SOLOW MODEL;EMPIRICS,4,ECONOMIC-GROWTH,EMPIRICS,OECD COUNTRIES,1.3862943611198906,1,1,NA,NA,NA,Italy,Europe,4
1999,EU.ECON.REV.,2,2,0,70,35,39.59797974644666,63,AUTOREGRESSIVE TIME-SERIES;ECONOMIC-FLUCTUATIONS;STOCHASTIC TRENDS;UNIT-ROOT,4,AUTOREGRESSIVE TIME-SERIES,ECONOMIC-FLUCTUATIONS,STOCHASTIC TRENDS,1.3862943611198906,1,1,NA,NA,NA,Italy,Europe,4
1999,EU.REV.ECON.HIST.,1,1,NA,18,18,NA,18,FINANCIAL-MARKETS;GROWTH;INVESTMENT;LIQUIDITY;BANKING,5,BANKING,FINANCIAL-MARKETS,GROWTH,1.6094379124341005,1,1,NA,NA,NA,Italy,Europe,5
1999,J.DEV.ECON.,1,3,NA,29,29,NA,29,EAST-ASIAN MIRACLE;LONG-RUN GROWTH;RESEARCH-AND-DEVELOPMENT;ECONOMIC-GROWTH;D SPILLOVERS;PRODUCTIVITY;REGRESSIONS;COUNTRIES;LESSONS;TRADE,10,COUNTRIES,D SPILLOVERS,EAST-ASIAN MIRACLE,2.3025850929940455,1,1,NA,NA,NA,Italy,Europe,10
1999,J.ECON.LIT.,1,1,NA,1,1,NA,1,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Italy,Europe,NA
1999,J.INTER.HIST.,4,1,0,52,13,13.4412301024373,32,STATE,1,STATE,NA,NA,-0,1,1,NA,NA,NA,Italy,Europe,1
1999,J.PUBLIC.ECON,1,3,NA,120,120,NA,120,INCOME INEQUALITY;UNITED-STATES;INVESTMENT;MATRICES;GROWTH,5,GROWTH,INCOME INEQUALITY,INVESTMENT,1.6094379124341005,1,1,NA,NA,NA,Italy,Europe,5
1999,REV.ECON.STAT.,2,1.5,0.7071067811865476,48,24,12.727922061357855,33,BUSINESS-CYCLE;MARGINAL COST;FUNDS;MODEL;REAL,5,BUSINESS-CYCLE,FUNDS,MARGINAL COST,1.6094379124341005,1,1,NA,NA,NA,Italy,Europe,5
2000,AMER.ECON.REV,1,2,NA,103,103,NA,103,ECONOMIC-GROWTH;INEQUALITY;WEALTH,3,ECONOMIC-GROWTH,INEQUALITY,WEALTH,1.0986122886681096,1,1,NA,NA,NA,Italy,Europe,0
2000,ECON.HIST.REV.,1,1,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Italy,Europe,NA
2000,ECON.MODELLING,2,1.5,0.7071067811865476,11,5.5,4.949747468305833,9,COINTEGRATION RANK;EMPIRICAL-ANALYSIS;ENDOGENOUS GROWTH,3,COINTEGRATION RANK,EMPIRICAL-ANALYSIS,ENDOGENOUS GROWTH,1.0986122886681096,1,1,NA,NA,NA,Italy,Europe,1
2000,ECONOMICS LETTERS,3,2,0,25,8.333333333333334,12.741009902410928,23,DECLINING INDUSTRIES;EXIT;ENTRY;DISCRETION;RULES,5,DECLINING INDUSTRIES,DISCRETION,ENTRY,1.6094379124341005,1,1,NA,NA,NA,Italy,Europe,2
2000,EU.ECON.REV.,3,2.6666666666666665,1.1547005383792515,65,21.666666666666668,19.39931270260195,44,INCOMPLETE INFORMATION;MONETARY-POLICY;SOVEREIGN DEBT;PUBLIC DEBT;DEFAULT;REPUDIATION;MODEL;REPUTATION;DEFICITS;PLANS;MONETARY-POLICY;PERMANENT-INCOME;PANEL-DATA;HYPOTHESIS,14,MONETARY-POLICY,DEFAULT,DEFICITS,2.5400363038209806,1.0769230769230769,1,NA,NA,NA,Italy,Europe,6
2000,EU.REV.ECON.HIST.,1,1,NA,12,12,NA,12,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Italy,Europe,NA
2000,EXP.ECON.HIST.,1,2,NA,33,33,NA,33,SOUTHERN AGRICULTURE;TRANSACTION COSTS;UNCERTAINTY;INCENTIVES;CROPSHARE;DESIGN;TENURE;FACTS,8,CROPSHARE,DESIGN,FACTS,2.0794415416798357,1,1,NA,NA,NA,Italy,Europe,4
2000,J.DEV.ECON.,1,1,NA,4,4,NA,4,PRODUCTIVITY;TRADE;EMPIRICS;MODELS,4,EMPIRICS,MODELS,PRODUCTIVITY,1.3862943611198906,1,1,NA,NA,NA,Italy,Europe,0
2000,J.INTER.HIST.,1,1,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Italy,Europe,NA
2000,J.MONETARY.ECON,1,2,NA,25,25,NA,25,PARAMETER INSTABILITY;MONETARY TRENDS;UNITED-KINGDOM;I(1) PROCESSES;TESTS;COINTEGRATION;STATES,7,COINTEGRATION,I(1) PROCESSES,MONETARY TRENDS,1.945910149055313,1,1,NA,NA,NA,Italy,Europe,2
2000,J.PUBLIC.ECON,2,2,0,36,18,16.97056274847714,30,OREGON RATIONING PLAN;ADVANCE DIRECTIVES;HEALTH-CARE;PULMONARY MANIFESTATIONS;MUNCHAUSEN-SYNDROME;COST SAVINGS;LIFE;END;PREFERENCES;ECONOMICS;PERFORMANCE;PRIVATE;SYSTEM,13,ADVANCE DIRECTIVES,COST SAVINGS,ECONOMICS,2.5649493574615376,1,1,NA,NA,NA,Italy,Europe,7
2001,ECON.MODELLING,1,2,NA,8,8,NA,8,SYSTEMS,1,SYSTEMS,NA,NA,-0,1,1,NA,NA,NA,Italy,Europe,0
2001,ECONOMICS LETTERS,2,1.5,0.7071067811865476,25,12.5,10.606601717798213,20,EXCHANGE-RATE DYNAMICS;BUSINESS CYCLES;POLICY;CHANNELS,4,BUSINESS CYCLES,CHANNELS,EXCHANGE-RATE DYNAMICS,1.3862943611198906,1,1,NA,NA,NA,Italy,Europe,1
2001,EU.ECON.REV.,2,2,0,124,62,2.8284271247461903,64,RATE EXPOSURE;MARKET;INDUSTRY;PRICES;POWER;COMPETITION;EFFICIENCY;PERFORMANCE;INDUSTRY,9,INDUSTRY,COMPETITION,EFFICIENCY,2.0431918705451206,1.125,1,NA,NA,NA,Italy,Europe,1
2001,EU.REV.ECON.HIST.,1,1,NA,14,14,NA,14,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Italy,Europe,NA
2001,EXP.ECON.HIST.,2,2.5,0.7071067811865476,52,26,2.8284271247461903,28,DEFICITS;CONSUMPTION;ADJUSTMENT;EXPECTATIONS;HYPOTHESIS;ONSET,6,ADJUSTMENT,CONSUMPTION,DEFICITS,1.7917594692280547,1,1,NA,NA,NA,Italy,Europe,1
2001,J.DEV.ECON.,1,3,NA,20,20,NA,20,INTERNATIONAL EVIDENCE,1,INTERNATIONAL EVIDENCE,NA,NA,-0,1,1,NA,NA,NA,Italy,Europe,1
2001,J.INTER.HIST.,7,1,0,8,1.142857142857143,3.0237157840738176,8,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Italy,Europe,NA
2001,REV.ECON.STAT.,2,1.5,0.7071067811865476,49,24.5,27.577164466275352,44,CONSUMPTION;EXPECTATIONS;UNCERTAINTY;CONSUMPTION GROWTH;INEQUALITY,5,CONSUMPTION,CONSUMPTION GROWTH,EXPECTATIONS,1.6094379124341005,1,1,NA,NA,NA,Italy,Europe,1
2001,SOC.SCI.HIST.,1,1,NA,9,9,NA,9,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Italy,Europe,NA
2002,ECON.HIST.REV.,2,1.5,0.7071067811865476,36,18,25.45584412271571,36,BRITISH;CITIES;PRODUCTIVITY,3,BRITISH,CITIES,PRODUCTIVITY,1.0986122886681096,1,1,NA,NA,NA,Italy,Europe,0
2002,ECON.MODELLING,2,3,1.4142135623730951,15,7.5,10.606601717798213,15,GENERALIZED ARCH;INFORMATION;VOLATILITY;MARKET;MONETARY,5,GENERALIZED ARCH,INFORMATION,MARKET,1.6094379124341005,1,1,NA,NA,NA,Italy,Europe,0
2002,ECONOMICS LETTERS,1,1,NA,29,29,NA,29,NONSTATIONARY HYPOTHESES;TIME-SERIES;INTEGRATION,3,INTEGRATION,NONSTATIONARY HYPOTHESES,TIME-SERIES,1.0986122886681096,1,1,NA,NA,NA,Italy,Europe,0
2002,EU.ECON.REV.,2,1,0,656,328,265.87214972614186,516,VALUES;ART;PRODUCTIVITY;CITIES,4,ART,CITIES,PRODUCTIVITY,1.3862943611198906,1,1,NA,NA,NA,Italy,Europe,0
2002,EXP.ECON.HIST.,1,1,NA,9,9,NA,9,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Italy,Europe,NA
2002,J.INTER.HIST.,3,1,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Italy,Europe,NA
2002,J.MONETARY.ECON,1,1,NA,106,106,NA,106,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Italy,Europe,NA
2002,J.PUBLIC.ECON,1,1,NA,36,36,NA,36,FEDERAL FISCAL CONSTITUTIONS;UNITED-STATES,2,FEDERAL FISCAL CONSTITUTIONS,UNITED-STATES,NA,0.6931471805599453,1,1,NA,NA,NA,Italy,Europe,1
2002,REV.ECON.STAT.,1,2,NA,111,111,NA,111,PRODUCTIVITY,1,PRODUCTIVITY,NA,NA,-0,1,1,NA,NA,NA,Italy,Europe,0
2003,ECON.HIST.REV.,2,1,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Italy,Europe,NA
2003,ECON.MODELLING,2,2,0,20,10,4.242640687119285,13,LONG-RUN GROWTH;INCREASING RETURNS;ECONOMIC-GROWTH;UNITED-STATES;MODELS;COINTEGRATION;TIME-SERIES;SUPERNEUTRALITY;NEUTRALITY;ROOT,10,COINTEGRATION,ECONOMIC-GROWTH,INCREASING RETURNS,2.3025850929940455,1,1,NA,NA,NA,Italy,Europe,0
2003,ECONOMICS LETTERS,1,2,NA,93,93,NA,93,CORPORATE-GROWTH;INDUSTRY,2,CORPORATE-GROWTH,INDUSTRY,NA,0.6931471805599453,1,1,NA,NA,NA,Italy,Europe,1
2003,EU.ECON.REV.,1,3,NA,80,80,NA,80,JOB SECURITY;LITIGATION;EMPLOYMENT;SELECTION;INFORMATION;HYPOTHESIS,6,EMPLOYMENT,HYPOTHESIS,INFORMATION,1.7917594692280547,1,1,NA,NA,NA,Italy,Europe,1
2003,EXP.ECON.HIST.,1,3,NA,12,12,NA,12,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Italy,Europe,NA
2003,J.INTER.HIST.,3,1,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Italy,Europe,NA
2003,J.PUBLIC.ECON,1,2,NA,20,20,NA,20,PORTFOLIO COMPOSITION,1,PORTFOLIO COMPOSITION,NA,NA,-0,1,1,NA,NA,NA,Italy,Europe,1
2004,AMER.ECON.REV,1,3,NA,1399,1399,NA,1399,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Italy,Europe,NA
2004,ECON.HIST.REV.,1,2,NA,65,65,NA,65,REVOLUTION;PRICES;WAGES,3,PRICES,REVOLUTION,WAGES,1.0986122886681096,1,1,NA,NA,NA,Italy,Europe,0
2004,ECON.MODELLING,1,2,NA,3,3,NA,3,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Italy,Europe,NA
2004,ECONOMICS LETTERS,2,1.5,0.7071067811865476,49,24.5,7.7781745930520225,30,MINIMAX;ECONOMIES;SCOPE;BANKING,4,BANKING,ECONOMIES,MINIMAX,1.3862943611198906,1,1,NA,NA,NA,Italy,Europe,1
2004,EU.REV.ECON.HIST.,2,1.5,0.7071067811865476,31,15.5,9.192388155425117,22,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Italy,Europe,NA
2004,J.INTER.HIST.,4,1,0,1,0.25,0.5,1,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Italy,Europe,NA
2004,J.MONETARY.ECON,2,1.5,0.7071067811865476,48,24,16.97056274847714,36,US CIVIL-WAR;TURNING-POINTS;EXPECTATIONS;TIME-SERIES;MODEL;IDENTIFICATION;DISCRETION;INFLATION;RULES,9,DISCRETION,EXPECTATIONS,IDENTIFICATION,2.1972245773362196,1,1,NA,NA,NA,Italy,Europe,0
2004,REV.ECON.STAT.,1,2,NA,2,2,NA,2,INFLATION;OPENNESS,2,INFLATION,OPENNESS,NA,0.6931471805599453,1,1,NA,NA,NA,Italy,Europe,0
2005,ECON.HIST.REV.,1,1,NA,25,25,NA,25,FLANDERS;SHEEP,2,FLANDERS,SHEEP,NA,0.6931471805599453,1,1,NA,NA,NA,Italy,Europe,2
2005,ECON.MODELLING,3,2.3333333333333335,0.5773502691896258,13,4.333333333333333,5.131601439446884,10,MONETARY-POLICY;CREDIT CONDITIONS;EXTERNAL FINANCE;COINTEGRATION VECTORS;AGENCY COSTS;TRANSMISSION;TAKEOVERS;INFERENCE;DEMAND;MONEY,10,AGENCY COSTS,COINTEGRATION VECTORS,CREDIT CONDITIONS,2.3025850929940455,1,1,NA,NA,NA,Italy,Europe,0
2005,ECONOMICS LETTERS,1,2,NA,33,33,NA,33,LIQUIDITY CONSTRAINTS;SMALL FIRMS;ENTREPRENEURS;INVESTMENT,4,ENTREPRENEURS,INVESTMENT,LIQUIDITY CONSTRAINTS,1.3862943611198906,1,1,NA,NA,NA,Italy,Europe,2
2005,EU.ECON.REV.,3,1.6666666666666667,0.5773502691896257,219,73,87.78952101475437,174,MONETARY-POLICY;TRANSMISSION;CREDIT;MONEY;RISK;MONETARY-POLICY;INTEREST-RATES;TRADE-OFFS;DYNAMICS;PRICES;MONETARY-POLICY RULES;BUSINESS-CYCLE;SCALE;SPECIFICATION;EMPLOYMENT;RETURNS;OUTPUT;LABOR,18,MONETARY-POLICY,BUSINESS-CYCLE,CREDIT,2.8133554045006157,1.0588235294117647,1,NA,NA,NA,Italy,Europe,1
2005,EU.REV.ECON.HIST.,2,1,0,90,45,15.556349186104045,56,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Italy,Europe,NA
2005,EXP.ECON.HIST.,1,3,NA,7,7,NA,7,ECONOMIC-FLUCTUATIONS,1,ECONOMIC-FLUCTUATIONS,NA,NA,-0,1,1,NA,NA,NA,Italy,Europe,0
2005,J.DEV.ECON.,1,1,NA,38,38,NA,38,MONETARY-POLICY;STABILITY,2,MONETARY-POLICY,STABILITY,NA,0.6931471805599453,1,1,NA,NA,NA,Italy,Europe,0
2005,J.INTER.HIST.,2,1,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Italy,Europe,NA
2005,J.MONETARY.ECON,1,2,NA,62,62,NA,62,SUPPLY-SIDE ECONOMICS;COORDINATION;POLICY,3,COORDINATION,POLICY,SUPPLY-SIDE ECONOMICS,1.0986122886681096,1,1,NA,NA,NA,Italy,Europe,0
2006,ECON.HIST.REV.,1,1,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Italy,Europe,NA
2006,ECON.MODELLING,2,1,0,405,202.5,284.9640328181787,404,WAGE;EMPLOYMENT;TAXES,3,EMPLOYMENT,TAXES,WAGE,1.0986122886681096,1,1,NA,NA,NA,Italy,Europe,0
2006,ECONOMICS LETTERS,1,3,NA,5,5,NA,5,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Italy,Europe,NA
2006,EU.ECON.REV.,3,2.3333333333333335,0.5773502691896258,341,113.66666666666666,137.88521796528204,272,2 FACES;INVESTMENT;ESTIMATORS;GROWTH;PANEL;INDIAN BUSINESS GROUPS;CAPITAL STRUCTURE;IMPERFECT INFORMATION;EMERGING MARKETS;CREDIT;INVESTMENT;GOVERNANCE;OWNERSHIP;COMPANIES;RULES,15,INVESTMENT,2 FACES,CAPITAL STRUCTURE,2.6156305770275505,1.0714285714285714,1,NA,NA,NA,Italy,Europe,2
2006,EU.REV.ECON.HIST.,1,2,NA,32,32,NA,32,DEBT,1,DEBT,NA,NA,-0,1,1,NA,NA,NA,Italy,Europe,0
2006,EXP.ECON.HIST.,2,2,0,22,11,4.242640687119285,14,EMPLOYMENT;OVERTIME;GERMANY;BRITAIN;WAGES;FOOD;CONSUMPTION;POVERTY;WELFARE,9,BRITAIN,CONSUMPTION,EMPLOYMENT,2.1972245773362196,1,1,NA,NA,NA,Italy,Europe,1
2006,J.ECON.LIT.,1,1,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,Italy,Europe,NA
2006,J.ECON.PERSP.,2,1.5,0.7071067811865476,105,52.5,37.476659402887016,79,GROWTH;FINANCE;AID;MARKET;BEHAVIOR,5,AID,BEHAVIOR,FINANCE,1.6094379124341005,1,1,NA,NA,NA,Italy,Europe,0
2006,J.INTER.HIST.,7,1,0,58,8.285714285714286,7.016986193380691,19,HISTORY,1,HISTORY,NA,NA,-0,1,1,NA,NA,NA,Italy,Europe,0
2006,J.PUBLIC.ECON,1,3,NA,72,72,NA,72,SOCIAL-SECURITY;HOUSEHOLD WEALTH,2,HOUSEHOLD WEALTH,SOCIAL-SECURITY,NA,0.6931471805599453,1,1,NA,NA,NA,Italy,Europe,1
2007,CLIO,1,2,NA,2,2,NA,2,SAMPLE SELECTION;BIAS,2,BIAS,SAMPLE SELECTION,NA,0.6931471805599453,1,1,NA,NA,NA,Italy,Europe,0
2007,ECON.HIST.REV.,5,1.2,0.44721359549995793,138,27.6,26.39696952303427,58,LOW-COUNTRIES;ENGLAND;WAGES;COMPANIES;ECONOMY;MARKET;POPULATION-DYNAMICS;LIFE EXPECTANCY;DEMOGRAPHY;PATTERNS;INFANT;CHILDREN;SYSTEM;TRENDS;TABLE,15,CHILDREN,COMPANIES,DEMOGRAPHY,2.70805020110221,1,1,NA,NA,NA,Italy,Europe,3
2007,ECON.MODELLING,2,3,2.8284271247461903,17,8.5,3.5355339059327378,11,MODEL;TAX;MONETARY-POLICY;FLUCTUATIONS,4,FLUCTUATIONS,MODEL,MONETARY-POLICY,1.3862943611198906,1,1,NA,NA,NA,Italy,Europe,0
2007,ECONOMICS LETTERS,1,1,NA,63,63,NA,63,ESTIMATES BACE APPROACH,1,ESTIMATES BACE APPROACH,NA,NA,-0,1,1,NA,NA,NA,Italy,Europe,1
